que,difficulty,deduction_or_reasoning,numerical_logic,logical_intuition,trial_and_error,visualisation,total
1,4,30,5,30,15,20,100
2,4,25,30,25,5,15,100
3,3,20,35,20,20,5,100
4,3,20,10,30,20,20,100
5,3,20,10,30,20,20,100
6,3,35,5,20,25,15,100
7,3,30,0,20,20,30,100
8,3,30,20,20,0,30,100
9,3,30,30,20,10,10,100
10,4,30,40,10,10,10,100
11,3,25,25,25,5,20,100
12,3,25,25,25,5,20,100
13,2,35,25,30,5,5,100
14,3,20,0,15,25,40,100
15,2,10,10,10,40,30,100
16,5,25,0,50,20,5,100
17,5,20,30,30,20,0,100
18,3,40,0,20,10,30,100
19,2,20,25,15,15,25,100
20,5,10,20,5,25,40,100